ds,ret
2020-11-01,10
2020-11-02,19
2020-11-03,29
2020-11-04,39
2020-11-05,48
2020-11-06,58
2020-11-07,68
2020-11-08,77
2020-11-09,87
2020-11-10,97
2020-11-11,106
2020-11-12,116
2020-11-13,125
2020-11-14,135
2020-11-15,145
2020-11-16,154
2020-11-17,164
2020-11-18,174
2020-11-19,183
2020-11-20,193
2020-11-21,203
2020-11-22,212
2020-11-23,222
2020-11-24,232
2020-11-25,241
2020-11-26,251
2020-11-27,261
2020-11-28,270
2020-11-29,280
2020-11-30,290
2020-12-01,299
2020-12-02,309
2020-12-03,319
2020-12-04,328
2020-12-05,338
2020-12-06,347
2020-12-07,357
2020-12-08,367
2020-12-09,376
2020-12-10,386
2020-12-11,396
2020-12-12,405
2020-12-13,415
2020-12-14,425
2020-12-15,434
2020-12-16,444
2020-12-17,454
2020-12-18,463
2020-12-19,473
2020-12-20,483
2020-12-21,492
2020-12-22,502
2020-12-23,512
2020-12-24,521
2020-12-25,531
2020-12-26,541
2020-12-27,550
2020-12-28,560
2020-12-29,569
2020-12-30,579
2020-12-31,589
2021-01-01,598
2021-01-02,608
2021-01-03,618
2021-01-04,627
2021-01-05,637
2021-01-06,647
2021-01-07,656
2021-01-08,666
2021-01-09,676
2021-01-10,685
2021-01-11,695
2021-01-12,705
2021-01-13,714
2021-01-14,724
2021-01-15,734
2021-01-16,743
2021-01-17,753
2021-01-18,763
2021-01-19,772
2021-01-20,782
2021-01-21,791
2021-01-22,801
2021-01-23,811
2021-01-24,820
2021-01-25,830
2021-01-26,840
2021-01-27,849
2021-01-28,859
2021-01-29,869
2021-01-30,878
2021-01-31,888
